x,y
-1,0.0443913
-0.997998,0.0400323
-0.995996,0.036949
-0.993994,0.0349245
-0.991992,0.0337678
-0.98999,0.0333116
-0.987988,0.0334099
-0.985986,0.0339363
-0.983984,0.0347819
-0.981982,0.0358535
-0.97998,0.037072
-0.977978,0.0383712
-0.975976,0.039696
-0.973974,0.0410014
-0.971972,0.0422515
-0.96997,0.0434179
-0.967968,0.0444795
-0.965966,0.0454208
-0.963964,0.0462318
-0.961962,0.0469068
-0.95996,0.0474441
-0.957958,0.0478449
-0.955956,0.0481135
-0.953954,0.0482561
-0.951952,0.0482806
-0.94995,0.0481966
-0.947948,0.0480146
-0.945946,0.0477456
-0.943944,0.0474014
-0.941942,0.0469938
-0.93994,0.0465348
-0.937938,0.0460361
-0.935936,0.0455092
-0.933934,0.0449653
-0.931932,0.0444147
-0.92993,0.0438676
-0.927928,0.043333
-0.925926,0.0428197
-0.923924,0.0423354
-0.921922,0.041887
-0.91992,0.0414807
-0.917918,0.0411221
-0.915916,0.0408156
-0.913914,0.0405652
-0.911912,0.0403738
-0.90991,0.0402437
-0.907908,0.0401766
-0.905906,0.0401734
-0.903904,0.0402344
-0.901902,0.0403593
-0.8999,0.0405471
-0.897898,0.0407965
-0.895896,0.0411057
-0.893894,0.0414723
-0.891892,0.0418936
-0.88989,0.0423667
-0.887888,0.0428882
-0.885886,0.0434546
-0.883884,0.044062
-0.881882,0.0447065
-0.87988,0.045384
-0.877878,0.0460904
-0.875876,0.0468214
-0.873874,0.0475726
-0.871872,0.0483399
-0.86987,0.049119
-0.867868,0.0499057
-0.865866,0.0506959
-0.863864,0.0514857
-0.861862,0.0522712
-0.85986,0.0530487
-0.857858,0.0538148
-0.855856,0.0545659
-0.853854,0.0552991
-0.851852,0.0560114
-0.84985,0.0567001
-0.847848,0.0573626
-0.845846,0.0579968
-0.843844,0.0586006
-0.841842,0.0591723
-0.83984,0.0597103
-0.837838,0.0602133
-0.835836,0.0606804
-0.833834,0.0611106
-0.831832,0.0615035
-0.82983,0.0618587
-0.827828,0.062176
-0.825826,0.0624557
-0.823824,0.0626979
-0.821822,0.0629032
-0.81982,0.0630723
-0.817818,0.0632062
-0.815816,0.0633058
-0.813814,0.0633725
-0.811812,0.0634075
-0.80981,0.0634125
-0.807808,0.063389
-0.805806,0.0633389
-0.803804,0.063264
-0.801802,0.0631663
-0.7998,0.0630479
-0.797798,0.0629108
-0.795796,0.0627573
-0.793794,0.0625897
-0.791792,0.0624101
-0.78979,0.0622209
-0.787788,0.0620244
-0.785786,0.061823
-0.783784,0.0616188
-0.781782,0.0614143
-0.77978,0.0612117
-0.777778,0.0610132
-0.775776,0.0608211
-0.773774,0.0606374
-0.771772,0.0604644
-0.76977,0.0603039
-0.767768,0.060158
-0.765766,0.0600284
-0.763764,0.0599171
-0.761762,0.0598257
-0.75976,0.0597557
-0.757758,0.0597088
-0.755756,0.0596863
