x,y
-1,0.0384615
-0.997998,718.131
-0.995996,1273.34
-0.993994,1690.68
-0.991992,1992.05
-0.98999,2196.58
-0.987988,2320.91
-0.985986,2379.48
-0.983984,2384.77
-0.981982,2347.52
-0.97998,2276.94
-0.977978,2180.88
-0.975976,2066
-0.973974,1937.91
-0.971972,1801.29
-0.96997,1660.04
-0.967968,1517.35
-0.965966,1375.79
-0.963964,1237.43
-0.961962,1103.88
-0.95996,976.372
-0.957958,855.8
-0.955956,742.787
-0.953954,637.723
-0.951952,540.806
-0.94995,452.072
-0.947948,371.428
-0.945946,298.679
-0.943944,233.546
-0.941942,175.69
-0.93994,124.724
-0.937938,80.2284
-0.935936,41.7659
-0.933934,8.88655
-0.931932,-18.8612
-0.92993,-41.9246
-0.927928,-60.741
-0.925926,-75.7336
-0.923924,-87.3082
-0.921922,-95.8504
-0.91992,-101.724
-0.917918,-105.27
-0.915916,-106.805
-0.913914,-106.623
-0.911912,-104.992
-0.90991,-102.158
-0.907908,-98.3435
-0.905906,-93.7499
-0.903904,-88.5565
-0.901902,-82.9228
-0.8999,-76.9895
-0.897898,-70.8794
-0.895896,-64.6992
-0.893894,-58.54
-0.891892,-52.4791
-0.88989,-46.5809
-0.887888,-40.8981
-0.885886,-35.4729
-0.883884,-30.338
-0.881882,-25.5177
-0.87988,-21.029
-0.877878,-16.8819
-0.875876,-13.0812
-0.873874,-9.62646
-0.871872,-6.51306
-0.86987,-3.73292
-0.867868,-1.27501
-0.865866,0.874082
-0.863864,2.72964
-0.861862,4.30836
-0.85986,5.62799
-0.857858,6.70695
-0.855856,7.56399
-0.853854,8.21801
-0.851852,8.68774
-0.84985,8.99157
-0.847848,9.14742
-0.845846,9.17253
-0.843844,9.08344
-0.841842,8.89581
-0.83984,8.62442
-0.837838,8.28309
-0.835836,7.88468
-0.833834,7.44102
-0.831832,6.96297
-0.82983,6.4604
-0.827828,5.94219
-0.825826,5.41631
-0.823824,4.88978
-0.821822,4.36878
-0.81982,3.85864
-0.817818,3.36393
-0.815816,2.88847
-0.813814,2.43539
-0.811812,2.00721
-0.80981,1.60586
-0.807808,1.23273
-0.805806,0.888745
-0.803804,0.574386
-0.801802,0.289757
-0.7998,0.0346246
-0.797798,-0.191543
-0.795796,-0.38953
-0.793794,-0.560335
-0.791792,-0.705139
-0.78979,-0.825266
-0.787788,-0.922154
-0.785786,-0.997329
