x,y
-1,0.0389006
-0.997998,0.0385772
-0.995996,0.0384557
-0.993994,0.0384841
-0.991992,0.0386199
-0.98999,0.0388287
-0.987988,0.0390834
-0.985986,0.0393625
-0.983984,0.0396498
-0.981982,0.0399331
-0.97998,0.040204
-0.977978,0.0404566
-0.975976,0.0406878
-0.973974,0.0408959
-0.971972,0.041081
-0.96997,0.0412443
-0.967968,0.0413876
-0.965966,0.0415135
-0.963964,0.0416248
-0.961962,0.0417248
-0.95996,0.0418164
-0.957958,0.0419029
-0.955956,0.0419872
-0.953954,0.042072
-0.951952,0.0421598
-0.94995,0.0422529
-0.947948,0.0423532
-0.945946,0.0424622
-0.943944,0.0425812
-0.941942,0.0427112
-0.93994,0.0428527
-0.937938,0.0430063
-0.935936,0.0431719
-0.933934,0.0433495
-0.931932,0.0435387
-0.92993,0.0437389
-0.927928,0.0439496
-0.925926,0.0441698
-0.923924,0.0443986
-0.921922,0.044635
-0.91992,0.044878
-0.917918,0.0451264
-0.915916,0.0453792
-0.913914,0.0456351
-0.911912,0.0458931
-0.90991,0.0461521
-0.907908,0.0464112
-0.905906,0.0466694
-0.903904,0.0469257
-0.901902,0.0471795
-0.8999,0.0474299
-0.897898,0.0476765
-0.895896,0.0479185
-0.893894,0.0481557
-0.891892,0.0483877
-0.88989,0.0486142
-0.887888,0.0488351
-0.885886,0.0490504
-0.883884,0.04926
-0.881882,0.0494642
-0.87988,0.049663
-0.877878,0.0498568
-0.875876,0.0500458
-0.873874,0.0502305
-0.871872,0.0504114
-0.86987,0.0505888
-0.867868,0.0507633
-0.865866,0.0509356
-0.863864,0.051106
-0.861862,0.0512754
-0.85986,0.0514443
-0.857858,0.0516132
-0.855856,0.0517829
-0.853854,0.0519539
-0.851852,0.0521268
-0.84985,0.0523022
-0.847848,0.0524807
-0.845846,0.0526629
-0.843844,0.0528491
-0.841842,0.0530399
-0.83984,0.0532358
-0.837838,0.0534371
-0.835836,0.0536441
-0.833834,0.0538573
-0.831832,0.0540768
-0.82983,0.0543029
-0.827828,0.0545357
-0.825826,0.0547755
-0.823824,0.0550223
-0.821822,0.0552761
-0.81982,0.055537
-0.817818,0.0558049
-0.815816,0.0560797
-0.813814,0.0563613
-0.811812,0.0566496
-0.80981,0.0569443
-0.807808,0.0572453
-0.805806,0.0575523
-0.803804,0.0578651
-0.801802,0.0581832
-0.7998,0.0585064
-0.797798,0.0588344
-0.795796,0.0591667
-0.793794,0.0595031
-0.791792,0.0598431
