x,y
-1,-0.00532688
-0.997998,0.00494868
-0.995996,0.0144493
-0.993994,0.0232087
-0.991992,0.0312598
-0.98999,0.0386345
-0.987988,0.0453636
-0.985986,0.0514772
-0.983984,0.0570046
-0.981982,0.0619738
-0.97998,0.0664123
-0.977978,0.0703467
-0.975976,0.0738028
-0.973974,0.0768053
-0.971972,0.0793786
-0.96997,0.0815459
-0.967968,0.0833298
-0.965966,0.0847523
-0.963964,0.0858345
-0.961962,0.0865968
-0.95996,0.087059
-0.957958,0.0872402
-0.955956,0.0871587
-0.953954,0.0868325
-0.951952,0.0862785
-0.94995,0.0855134
-0.947948,0.084553
-0.945946,0.0834127
-0.943944,0.0821073
-0.941942,0.080651
-0.93994,0.0790573
-0.937938,0.0773396
-0.935936,0.0755102
-0.933934,0.0735814
-0.931932,0.0715647
-0.92993,0.0694713
-0.927928,0.0673117
-0.925926,0.0650962
-0.923924,0.0628345
-0.921922,0.060536
-0.91992,0.0582093
-0.917918,0.0558631
-0.915916,0.0535054
-0.913914,0.0511439
-0.911912,0.0487857
-0.90991,0.0464379
-0.907908,0.044107
-0.905906,0.0417992
-0.903904,0.0395203
-0.901902,0.0372759
-0.8999,0.0350712
-0.897898,0.032911
-0.895896,0.0308
-0.893894,0.0287424
-0.891892,0.0267423
-0.88989,0.0248034
-0.887888,0.022929
-0.885886,0.0211226
-0.883884,0.0193868
-0.881882,0.0177246
-0.87988,0.0161383
-0.877878,0.0146303
-0.875876,0.0132024
-0.873874,0.0118565
-0.871872,0.0105942
-0.86987,0.00941694
-0.867868,0.00832586
-0.865866,0.007322
-0.863864,0.00640619
-0.861862,0.00557912
-0.85986,0.00484127
-0.857858,0.00419298
-0.855856,0.00363446
-0.853854,0.00316573
-0.851852,0.0027867
-0.84985,0.00249713
-0.847848,0.00229665
-0.845846,0.00218477
-0.843844,0.00216089
-0.841842,0.00222427
-0.83984,0.00237409
-0.837838,0.00260941
-0.835836,0.00292919
-0.833834,0.00333231
-0.831832,0.00381754
-0.82983,0.00438359
-0.827828,0.00502907
-0.825826,0.00575252
-0.823824,0.00655242
-0.821822,0.00742717
-0.81982,0.0083751
-0.817818,0.00939451
-0.815816,0.0104836
-0.813814,0.0116406
-0.811812,0.0128636
-0.80981,0.0141506
-0.807808,0.0154998
-0.805806,0.0169091
-0.803804,0.0183765
-0.801802,0.0199
-0.7998,0.0214774
-0.797798,0.0231066
-0.795796,0.0247856
-0.793794,0.0265122
-0.791792,0.0282841
-0.78979,0.0300992
-0.787788,0.0319554
-0.785786,0.0338504
-0.783784,0.035782
-0.781782,0.037748
-0.77978,0.0397463
-0.777778,0.0417745
-0.775776,0.0438306
-0.773774,0.0459122
-0.771772,0.0480173
-0.76977,0.0501436
-0.767768,0.052289
-0.765766,0.0544514
-0.763764,0.0566285
-0.761762,0.0588183
-0.75976,0.0610186
-0.757758,0.0632275
-0.755756,0.0654427
-0.753754,0.0676624
-0.751752,0.0698845
-0.74975,0.0721069
-0.747748,0.0743278
-0.745746,0.0765453
-0.743744,0.0787573
-0.741742,0.0809622
-0.73974,0.0831579
-0.737738,0.0853428
-0.735736,0.087515
-0.733734,0.0896729
-0.731732,0.0918146
-0.72973,0.0939387
-0.727728,0.0960434
-0.725726,0.0981272
-0.723724,0.100188
-0.721722,0.102226
-0.71972,0.104238
-0.717718,0.106223
-0.715716,0.108179
-0.713714,0.110107
-0.711712,0.112003
-0.70971,0.113867
-0.707708,0.115698
-0.705706,0.117494
-0.703704,0.119255
-0.701702,0.120979
-0.6997,0.122665
-0.697698,0.124312
-0.695696,0.12592
-0.693694,0.127487
-0.691692,0.129012
-0.68969,0.130496
-0.687688,0.131936
-0.685686,0.133332
-0.683684,0.134684
-0.681682,0.135991
-0.67968,0.137252
-0.677678,0.138467
-0.675676,0.139635
-0.673674,0.140757
-0.671672,0.14183
-0.66967,0.142855
-0.667668,0.143832
-0.665666,0.144761
-0.663664,0.145641
-0.661662,0.146471
-0.65966,0.147253
-0.657658,0.147985
-0.655656,0.148668
-0.653654,0.149301
-0.651652,0.149885
-0.64965,0.150419
-0.647648,0.150905
-0.645646,0.151341
-0.643644,0.151728
-0.641642,0.152067
-0.63964,0.152357
-0.637638,0.152598
-0.635636,0.152792
-0.633634,0.152938
-0.631632,0.153038
-0.62963,0.15309
-0.627628,0.153096
-0.625626,0.153056
-0.623624,0.152972
-0.621622,0.152842
-0.61962,0.152668
-0.617618,0.152451
-0.615616,0.152192
-0.613614,0.15189
-0.611612,0.151546
-0.60961,0.151162
-0.607608,0.150739
-0.605606,0.150276
-0.603604,0.149775
-0.601602,0.149237
-0.5996,0.148662
-0.597598,0.148051
-0.595596,0.147407
-0.593594,0.146728
-0.591592,0.146017
-0.58959,0.145274
-0.587588,0.144501
-0.585586,0.143697
-0.583584,0.142866
-0.581582,0.142007
-0.57958,0.141122
-0.577578,0.140211
-0.575576,0.139277
-0.573574,0.13832
-0.571572,0.137341
-0.56957,0.136341
-0.567568,0.135322
-0.565566,0.134286
