x,y
-1,0.0376486
-0.997998,0.0389205
-0.995996,0.0395211
-0.993994,0.0397
-0.991992,0.0396404
-0.98999,0.0394726
-0.987988,0.0392855
-0.985986,0.0391362
-0.983984,0.0390575
-0.981982,0.0390645
-0.97998,0.0391594
-0.977978,0.0393359
-0.975976,0.039582
-0.973974,0.0398829
-0.971972,0.0402223
-0.96997,0.0405845
-0.967968,0.0409545
-0.965966,0.0413195
-0.963964,0.0416684
-0.961962,0.0419927
-0.95996,0.0422863
-0.957958,0.0425451
-0.955956,0.0427673
-0.953954,0.0429528
-0.951952,0.0431031
-0.94995,0.0432211
-0.947948,0.0433107
-0.945946,0.0433764
-0.943944,0.0434233
-0.941942,0.0434569
-0.93994,0.0434825
-0.937938,0.0435054
-0.935936,0.0435308
-0.933934,0.0435632
-0.931932,0.0436067
-0.92993,0.043665
-0.927928,0.0437409
-0.925926,0.0438369
-0.923924,0.0439547
-0.921922,0.0440951
-0.91992,0.0442588
-0.917918,0.0444457
-0.915916,0.0446549
-0.913914,0.0448856
-0.911912,0.0451361
-0.90991,0.0454046
-0.907908,0.045689
-0.905906,0.0459869
-0.903904,0.0462959
-0.901902,0.0466133
-0.8999,0.0469366
-0.897898,0.0472631
-0.895896,0.0475903
-0.893894,0.0479159
-0.891892,0.0482375
-0.88989,0.0485531
-0.887888,0.0488608
-0.885886,0.0491591
-0.883884,0.0494465
-0.881882,0.049722
-0.87988,0.0499846
-0.877878,0.0502339
-0.875876,0.0504696
-0.873874,0.0506914
-0.871872,0.0508998
-0.86987,0.051095
-0.867868,0.0512777
-0.865866,0.0514487
-0.863864,0.0516091
-0.861862,0.05176
-0.85986,0.0519027
-0.857858,0.0520385
-0.855856,0.0521689
-0.853854,0.0522954
-0.851852,0.0524197
-0.84985,0.0525432
-0.847848,0.0526676
-0.845846,0.0527943
-0.843844,0.0529248
-0.841842,0.0530606
-0.83984,0.053203
-0.837838,0.0533531
-0.835836,0.0535122
-0.833834,0.0536812
-0.831832,0.0538611
-0.82983,0.0540525
-0.827828,0.054256
-0.825826,0.0544723
-0.823824,0.0547015
-0.821822,0.0549439
-0.81982,0.0551995
-0.817818,0.0554683
-0.815816,0.05575
-0.813814,0.0560443
-0.811812,0.0563508
-0.80981,0.0566689
-0.807808,0.056998
-0.805806,0.0573373
-0.803804,0.0576861
-0.801802,0.0580434
-0.7998,0.0584083
-0.797798,0.0587798
-0.795796,0.059157
-0.793794,0.0595389
-0.791792,0.0599242
-0.78979,0.0603122
-0.787788,0.0607016
-0.785786,0.0610916
-0.783784,0.0614812
-0.781782,0.0618693
-0.77978,0.0622552
-0.777778,0.0626381
-0.775776,0.0630171
-0.773774,0.0633916
-0.771772,0.0637609
-0.76977,0.0641246
-0.767768,0.0644821
-0.765766,0.0648331
-0.763764,0.0651773
-0.761762,0.0655145
-0.75976,0.0658446
-0.757758,0.0661675
-0.755756,0.0664834
-0.753754,0.0667923
-0.751752,0.0670945
-0.74975,0.0673903
-0.747748,0.06768
-0.745746,0.0679642
-0.743744,0.0682432
-0.741742,0.0685177
-0.73974,0.0687882
-0.737738,0.0690555
-0.735736,0.0693202
-0.733734,0.0695831
-0.731732,0.069845
-0.72973,0.0701066
-0.727728,0.0703688
-0.725726,0.0706323
-0.723724,0.070898
-0.721722,0.0711667
-0.71972,0.0714392
-0.717718,0.0717163
-0.715716,0.0719987
-0.713714,0.0722873
-0.711712,0.0725826
-0.70971,0.0728854
-0.707708,0.0731963
-0.705706,0.0735159
-0.703704,0.0738447
-0.701702,0.0741832
-0.6997,0.0745319
-0.697698,0.0748911
-0.695696,0.0752611
-0.693694,0.0756422
-0.691692,0.0760347
-0.68969,0.0764385
-0.687688,0.0768539
-0.685686,0.0772809
-0.683684,0.0777193
-0.681682,0.0781692
-0.67968,0.0786303
-0.677678,0.0791024
-0.675676,0.0795854
-0.673674,0.0800788
-0.671672,0.0805824
-0.66967,0.0810957
-0.667668,0.0816183
-0.665666,0.0821498
-0.663664,0.0826896
-0.661662,0.0832373
-0.65966,0.0837922
-0.657658,0.0843538
-0.655656,0.0849215
-0.653654,0.0854947
-0.651652,0.0860728
-0.64965,0.0866552
-0.647648,0.0872414
-0.645646,0.0878306
-0.643644,0.0884224
-0.641642,0.0890161
-0.63964,0.0896113
-0.637638,0.0902073
-0.635636,0.0908036
-0.633634,0.0913999
-0.631632,0.0919956
-0.62963,0.0925903
-0.627628,0.0931837
-0.625626,0.0937754
-0.623624,0.0943651
-0.621622,0.0949526
-0.61962,0.0955376
-0.617618,0.09612
-0.615616,0.0966998
-0.613614,0.0972767
-0.611612,0.0978508
-0.60961,0.0984222
-0.607608,0.0989908
-0.605606,0.0995568
-0.603604,0.10012
-0.601602,0.100682
-0.5996,0.101241
-0.597598,0.101799
-0.595596,0.102356
-0.593594,0.102911
-0.591592,0.103466
-0.58959,0.104021
-0.587588,0.104576
-0.585586,0.105132
-0.583584,0.10569
-0.581582,0.106249
-0.57958,0.106812
-0.577578,0.107377
-0.575576,0.107946
-0.573574,0.108519
-0.571572,0.109098
-0.56957,0.109682
-0.567568,0.110272
-0.565566,0.11087
-0.563564,0.111475
-0.561562,0.112088
-0.55956,0.112709
-0.557558,0.113341
-0.555556,0.113982
-0.553554,0.114634
-0.551552,0.115296
-0.54955,0.115971
-0.547548,0.116657
-0.545546,0.117356
-0.543544,0.118068
-0.541542,0.118794
-0.53954,0.119533
-0.537538,0.120286
-0.535536,0.121054
-0.533534,0.121837
-0.531532,0.122634
-0.52953,0.123446
-0.527528,0.124274
-0.525526,0.125117
-0.523524,0.125976
-0.521522,0.12685
-0.51952,0.127739
-0.517518,0.128644
-0.515516,0.129565
-0.513514,0.1305
-0.511512,0.131451
-0.50951,0.132417
-0.507508,0.133398
-0.505506,0.134393
-0.503504,0.135402
-0.501502,0.136426
-0.499499,0.137463
-0.497497,0.138513
-0.495495,0.139577
-0.493493,0.140653
-0.491491,0.141742
-0.489489,0.142842
-0.487487,0.143954
-0.485485,0.145078
-0.483483,0.146212
-0.481481,0.147356
-0.479479,0.14851
-0.477477,0.149674
-0.475475,0.150847
-0.473473,0.152028
-0.471471,0.153219
-0.469469,0.154417
-0.467467,0.155623
-0.465465,0.156836
-0.463463,0.158056
-0.461461,0.159284
-0.459459,0.160518
-0.457457,0.161758
-0.455455,0.163004
-0.453453,0.164257
-0.451451,0.165515
-0.449449,0.16678
-0.447447,0.16805
-0.445445,0.169325
-0.443443,0.170607
-0.441441,0.171895
-0.439439,0.173188
-0.437437,0.174487
-0.435435,0.175793
-0.433433,0.177105
-0.431431,0.178424
-0.429429,0.179749
-0.427427,0.181082
-0.425425,0.182423
-0.423423,0.183772
-0.421421,0.185129
-0.419419,0.186495
-0.417417,0.18787
-0.415415,0.189255
-0.413413,0.190651
-0.411411,0.192058
-0.409409,0.193477
-0.407407,0.194908
-0.405405,0.196352
-0.403403,0.197809
-0.401401,0.199281
-0.399399,0.200768
-0.397397,0.202271
-0.395395,0.203791
-0.393393,0.205327
-0.391391,0.206882
-0.389389,0.208456
-0.387387,0.210049
-0.385385,0.211663
-0.383383,0.213298
-0.381381,0.214955
-0.379379,0.216634
-0.377377,0.218337
-0.375375,0.220064
-0.373373,0.221816
-0.371371,0.223594
-0.369369,0.225398
-0.367367,0.227229
-0.365365,0.229088
-0.363363,0.230975
-0.361361,0.232891
-0.359359,0.234837
-0.357357,0.236813
-0.355355,0.238819
-0.353353,0.240856
-0.351351,0.242925
-0.349349,0.245027
-0.347347,0.24716
-0.345345,0.249327
-0.343343,0.251527
-0.341341,0.25376
-0.339339,0.256028
-0.337337,0.258329
-0.335335,0.260665
-0.333333,0.263035
-0.331331,0.265441
-0.329329,0.267881
-0.327327,0.270356
-0.325325,0.272866
-0.323323,0.275412
-0.321321,0.277992
-0.319319,0.280608
-0.317317,0.283259
-0.315315,0.285946
-0.313313,0.288667
-0.311311,0.291424
-0.309309,0.294215
-0.307307,0.297041
-0.305305,0.299903
-0.303303,0.302798
-0.301301,0.305729
-0.299299,0.308693
-0.297297,0.311692
-0.295295,0.314726
-0.293293,0.317793
-0.291291,0.320894
-0.289289,0.324028
-0.287287,0.327197
-0.285285,0.330398
-0.283283,0.333633
-0.281281,0.336902
-0.279279,0.340204
-0.277277,0.343538
-0.275275,0.346906
-0.273273,0.350308
-0.271271,0.353742
-0.269269,0.357209
-0.267267,0.36071
-0.265265,0.364244
-0.263263,0.367812
-0.261261,0.371413
-0.259259,0.375048
-0.257257,0.378717
-0.255255,0.38242
-0.253253,0.386157
-0.251251,0.38993
-0.249249,0.393737
-0.247247,0.39758
-0.245245,0.401459
-0.243243,0.405375
-0.241241,0.409327
-0.239239,0.413316
-0.237237,0.417343
-0.235235,0.421408
-0.233233,0.425513
-0.231231,0.429656
-0.229229,0.43384
-0.227227,0.438065
-0.225225,0.442331
-0.223223,0.446639
-0.221221,0.450989
-0.219219,0.455384
-0.217217,0.459822
-0.215215,0.464305
-0.213213,0.468833
-0.211211,0.473408
-0.209209,0.47803
-0.207207,0.482699
-0.205205,0.487417
-0.203203,0.492183
-0.201201,0.497
-0.199199,0.501866
-0.197197,0.506783
-0.195195,0.511751
-0.193193,0.516771
-0.191191,0.521843
-0.189189,0.526968
-0.187187,0.532146
-0.185185,0.537378
-0.183183,0.542663
-0.181181,0.548001
-0.179179,0.553394
-0.177177,0.558841
-0.175175,0.564342
-0.173173,0.569896
-0.171171,0.575505
-0.169169,0.581167
-0.167167,0.586882
-0.165165,0.592649
-0.163163,0.598469
-0.161161,0.60434
-0.159159,0.610262
-0.157157,0.616233
-0.155155,0.622254
-0.153153,0.628322
-0.151151,0.634436
-0.149149,0.640596
-0.147147,0.6468
-0.145145,0.653046
-0.143143,0.659333
-0.141141,0.665659
-0.139139,0.672021
-0.137137,0.678419
-0.135135,0.684849
-0.133133,0.691309
-0.131131,0.697797
-0.129129,0.704311
-0.127127,0.710848
-0.125125,0.717405
-0.123123,0.723979
-0.121121,0.730566
-0.119119,0.737165
-0.117117,0.743772
-0.115115,0.750383
-0.113113,0.756994
-0.111111,0.763604
-0.109109,0.770206
-0.107107,0.776799
-0.105105,0.783377
-0.103103,0.789938
-0.101101,0.796476
-0.0990991,0.802989
-0.0970971,0.809471
-0.0950951,0.815918
-0.0930931,0.822326
-0.0910911,0.828691
-0.0890891,0.835008
-0.0870871,0.841273
-0.0850851,0.847481
-0.0830831,0.853627
-0.0810811,0.859707
-0.0790791,0.865717
-0.0770771,0.871651
-0.0750751,0.877505
-0.0730731,0.883275
-0.0710711,0.888955
-0.0690691,0.894541
-0.0670671,0.900029
-0.0650651,0.905414
-0.0630631,0.910691
-0.0610611,0.915856
-0.0590591,0.920904
-0.0570571,0.925831
-0.0550551,0.930633
-0.0530531,0.935305
-0.0510511,0.939843
-0.049049,0.944244
-0.047047,0.948502
-0.045045,0.952615
-0.043043,0.956578
-0.041041,0.960388
-0.039039,0.964041
-0.037037,0.967534
-0.035035,0.970863
-0.033033,0.974025
-0.031031,0.977018
-0.029029,0.979838
-0.027027,0.982483
-0.025025,0.98495
-0.023023,0.987236
-0.021021,0.98934
-0.019019,0.991259
-0.017017,0.992992
-0.015015,0.994537
-0.013013,0.995892
-0.011011,0.997056
-0.00900901,0.998027
-0.00700701,0.998806
-0.00500501,0.99939
-0.003003,0.99978
-0.001001,0.999976
0.001001,0.999976
0.003003,0.99978
0.00500501,0.99939
0.00700701,0.998806
0.00900901,0.998027
0.011011,0.997056
0.013013,0.995892
0.015015,0.994537
0.017017,0.992992
0.019019,0.991259
0.021021,0.98934
0.023023,0.987236
0.025025,0.98495
0.027027,0.982483
0.029029,0.979838
0.031031,0.977018
0.033033,0.974025
0.035035,0.970863
0.037037,0.967534
0.039039,0.964041
0.041041,0.960388
0.043043,0.956578
0.045045,0.952615
0.047047,0.948502
0.049049,0.944244
0.0510511,0.939843
0.0530531,0.935305
0.0550551,0.930633
0.0570571,0.925831
0.0590591,0.920904
0.0610611,0.915856
0.0630631,0.910691
0.0650651,0.905414
0.0670671,0.900029
0.0690691,0.894541
0.0710711,0.888955
0.0730731,0.883275
0.0750751,0.877505
0.0770771,0.871651
0.0790791,0.865717
0.0810811,0.859707
0.0830831,0.853627
0.0850851,0.847481
0.0870871,0.841273
0.0890891,0.835008
0.0910911,0.828691
0.0930931,0.822326
0.0950951,0.815918
0.0970971,0.809471
0.0990991,0.802989
0.101101,0.796476
0.103103,0.789938
0.105105,0.783377
0.107107,0.776799
0.109109,0.770206
0.111111,0.763604
0.113113,0.756994
0.115115,0.750383
0.117117,0.743772
0.119119,0.737165
0.121121,0.730566
0.123123,0.723979
0.125125,0.717405
0.127127,0.710848
0.129129,0.704311
0.131131,0.697797
0.133133,0.691309
0.135135,0.684849
0.137137,0.678419
0.139139,0.672021
0.141141,0.665659
0.143143,0.659333
0.145145,0.653046
0.147147,0.6468
0.149149,0.640596
0.151151,0.634436
0.153153,0.628322
0.155155,0.622254
0.157157,0.616233
0.159159,0.610262
0.161161,0.60434
0.163163,0.598469
0.165165,0.592649
0.167167,0.586882
0.169169,0.581167
0.171171,0.575505
0.173173,0.569896
0.175175,0.564342
0.177177,0.558841
0.179179,0.553394
0.181181,0.548001
0.183183,0.542663
0.185185,0.537378
0.187187,0.532146
0.189189,0.526968
0.191191,0.521843
0.193193,0.516771
0.195195,0.511751
0.197197,0.506783
0.199199,0.501866
0.201201,0.497
0.203203,0.492183
0.205205,0.487417
0.207207,0.482699
0.209209,0.47803
0.211211,0.473408
0.213213,0.468833
0.215215,0.464305
0.217217,0.459822
0.219219,0.455384
0.221221,0.450989
0.223223,0.446639
0.225225,0.442331
0.227227,0.438065
0.229229,0.43384
0.231231,0.429656
0.233233,0.425513
0.235235,0.421408
0.237237,0.417343
0.239239,0.413316
0.241241,0.409327
0.243243,0.405375
0.245245,0.401459
0.247247,0.39758
0.249249,0.393737
0.251251,0.38993
0.253253,0.386157
0.255255,0.38242
0.257257,0.378717
0.259259,0.375048
0.261261,0.371413
0.263263,0.367812
0.265265,0.364244
0.267267,0.36071
0.269269,0.357209
0.271271,0.353742
0.273273,0.350308
0.275275,0.346906
0.277277,0.343538
0.279279,0.340204
0.281281,0.336902
0.283283,0.333633
0.285285,0.330398
0.287287,0.327197
0.289289,0.324028
0.291291,0.320894
0.293293,0.317793
0.295295,0.314726
0.297297,0.311692
0.299299,0.308693
0.301301,0.305729
0.303303,0.302798
0.305305,0.299903
0.307307,0.297041
0.309309,0.294215
0.311311,0.291424
0.313313,0.288667
0.315315,0.285946
0.317317,0.283259
0.319319,0.280608
0.321321,0.277992
0.323323,0.275412
0.325325,0.272866
0.327327,0.270356
0.329329,0.267881
0.331331,0.265441
0.333333,0.263035
0.335335,0.260665
0.337337,0.258329
0.339339,0.256028
0.341341,0.25376
0.343343,0.251527
0.345345,0.249327
0.347347,0.24716
0.349349,0.245027
0.351351,0.242925
0.353353,0.240856
0.355355,0.238819
0.357357,0.236813
0.359359,0.234837
0.361361,0.232891
0.363363,0.230975
0.365365,0.229088
0.367367,0.227229
0.369369,0.225398
0.371371,0.223594
0.373373,0.221816
0.375375,0.220064
0.377377,0.218337
0.379379,0.216634
0.381381,0.214955
0.383383,0.213298
0.385385,0.211663
0.387387,0.210049
0.389389,0.208456
0.391391,0.206882
0.393393,0.205327
0.395395,0.203791
0.397397,0.202271
0.399399,0.200768
0.401401,0.199281
0.403403,0.197809
0.405405,0.196352
0.407407,0.194908
0.409409,0.193477
0.411411,0.192058
0.413413,0.190651
0.415415,0.189255
0.417417,0.18787
0.419419,0.186495
0.421421,0.185129
0.423423,0.183772
0.425425,0.182423
0.427427,0.181082
0.429429,0.179749
0.431431,0.178424
0.433433,0.177105
0.435435,0.175793
0.437437,0.174487
0.439439,0.173188
0.441441,0.171895
0.443443,0.170607
0.445445,0.169325
0.447447,0.16805
0.449449,0.16678
0.451451,0.165515
0.453453,0.164257
0.455455,0.163004
0.457457,0.161758
0.459459,0.160518
0.461461,0.159284
0.463463,0.158056
0.465465,0.156836
0.467467,0.155623
0.469469,0.154417
0.471471,0.153219
0.473473,0.152028
0.475475,0.150847
0.477477,0.149674
0.479479,0.14851
0.481481,0.147356
0.483483,0.146212
0.485485,0.145078
0.487487,0.143954
0.489489,0.142842
0.491491,0.141742
0.493493,0.140653
0.495495,0.139577
0.497497,0.138513
0.499499,0.137463
0.501502,0.136426
0.503504,0.135402
0.505506,0.134393
0.507508,0.133398
0.50951,0.132417
0.511512,0.131451
0.513514,0.1305
0.515516,0.129565
0.517518,0.128644
0.51952,0.127739
0.521522,0.12685
0.523524,0.125976
0.525526,0.125117
0.527528,0.124274
0.52953,0.123446
0.531532,0.122634
0.533534,0.121837
0.535536,0.121054
0.537538,0.120286
0.53954,0.119533
0.541542,0.118794
0.543544,0.118068
0.545546,0.117356
0.547548,0.116657
0.54955,0.115971
0.551552,0.115296
0.553554,0.114634
0.555556,0.113982
0.557558,0.113341
0.55956,0.112709
0.561562,0.112088
0.563564,0.111475
0.565566,0.11087
0.567568,0.110272
0.56957,0.109682
0.571572,0.109098
0.573574,0.108519
0.575576,0.107946
0.577578,0.107377
0.57958,0.106812
0.581582,0.106249
0.583584,0.10569
0.585586,0.105132
0.587588,0.104576
0.58959,0.104021
0.591592,0.103466
0.593594,0.102911
0.595596,0.102356
0.597598,0.101799
0.5996,0.101241
0.601602,0.100682
0.603604,0.10012
0.605606,0.0995568
0.607608,0.0989908
0.60961,0.0984222
0.611612,0.0978508
0.613614,0.0972767
0.615616,0.0966998
0.617618,0.09612
0.61962,0.0955376
0.621622,0.0949526
0.623624,0.0943651
0.625626,0.0937754
0.627628,0.0931837
0.62963,0.0925903
0.631632,0.0919956
0.633634,0.0913999
0.635636,0.0908036
0.637638,0.0902073
0.63964,0.0896113
0.641642,0.0890161
0.643644,0.0884224
0.645646,0.0878306
0.647648,0.0872414
0.64965,0.0866552
0.651652,0.0860728
0.653654,0.0854947
0.655656,0.0849215
0.657658,0.0843538
0.65966,0.0837922
0.661662,0.0832373
0.663664,0.0826896
0.665666,0.0821498
0.667668,0.0816183
0.66967,0.0810957
0.671672,0.0805824
0.673674,0.0800788
0.675676,0.0795854
0.677678,0.0791024
0.67968,0.0786303
0.681682,0.0781692
0.683684,0.0777193
0.685686,0.0772809
0.687688,0.0768539
0.68969,0.0764385
0.691692,0.0760347
0.693694,0.0756422
0.695696,0.0752611
0.697698,0.0748911
0.6997,0.0745319
0.701702,0.0741832
