x,y
-1,0.0384615
-0.997998,-18.2603
-0.995996,-33.3027
-0.993994,-45.4742
-0.991992,-55.1239
-0.98999,-62.5674
-0.987988,-68.0897
-0.985986,-71.9474
-0.983984,-74.3713
-0.981982,-75.5683
-0.97998,-75.7239
-0.977978,-75.0033
-0.975976,-73.5539
-0.973974,-71.5063
-0.971972,-68.9762
-0.96997,-66.0656
-0.967968,-62.864
-0.965966,-59.4497
-0.963964,-55.8908
-0.961962,-52.2461
-0.95996,-48.5663
-0.957958,-44.8945
-0.955956,-41.2671
-0.953954,-37.7146
-0.951952,-34.2622
-0.94995,-30.9303
-0.947948,-27.7352
-0.945946,-24.6892
-0.943944,-21.8016
-0.941942,-19.0789
-0.93994,-16.5248
-0.937938,-14.1412
-0.935936,-11.9278
-0.933934,-9.88302
-0.931932,-8.00379
-0.92993,-6.28595
-0.927928,-4.72443
-0.925926,-3.31342
-0.923924,-2.04651
-0.921922,-0.916858
-0.91992,0.0827033
-0.917918,0.959566
-0.915916,1.72124
-0.913914,2.37528
-0.911912,2.92921
-0.90991,3.39046
-0.907908,3.76633
-0.905906,4.06392
-0.903904,4.29011
-0.901902,4.45156
-0.8999,4.55462
-0.897898,4.60536
-0.895896,4.60957
-0.893894,4.5727
-0.891892,4.49988
-0.88989,4.39595
-0.887888,4.26541
-0.885886,4.11243
-0.883884,3.9409
-0.881882,3.75439
-0.87988,3.55617
-0.877878,3.34923
-0.875876,3.13628
-0.873874,2.91979
-0.871872,2.70193
-0.86987,2.48468
-0.867868,2.26977
-0.865866,2.05871
-0.863864,1.85283
-0.861862,1.65325
-0.85986,1.46092
-0.857858,1.27665
-0.855856,1.10107
-0.853854,0.934698
-0.851852,0.777899
-0.84985,0.630942
-0.847848,0.493985
-0.845846,0.367092
-0.843844,0.250244
-0.841842,0.143345
-0.83984,0.0462346
-0.837838,-0.041307
-0.835836,-0.119549
-0.833834,-0.188804
-0.831832,-0.24942
-0.82983,-0.301776
-0.827828,-0.346272
-0.825826,-0.38333
-0.823824,-0.413384
-0.821822,-0.436876
-0.81982,-0.454254
-0.817818,-0.465967
-0.815816,-0.472462
-0.813814,-0.474182
-0.811812,-0.471559
-0.80981,-0.465018
-0.807808,-0.454971
